"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"ANKRD1",0.16478627814334,-9.96578428466209,-4.608232280044,-0.968604803724466,0.455228571117139,-3.45798964446339,-3.04692104738749,-3.17136841831198,-1.51045706435753,-0.687334826441606,-1.14880066140671,0.740711733399101,0.215367972203479,-1.46992925777492,0.633198686374004,-1.68501351453148,-1.14880066140671,-0.641603738043346,0.714575238851626,-0.249822294406943,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.67378253401974,-9.96578428466209,-9.96578428466209,-1.68501351453148,4.56199813771312,-1.11716134423275,-1.46992925777492,-9.96578428466209,-2.2446850959549
"ADAM12",2.80343371146442,4.68879580702463,1.7995018140616,2.44121786326211,3.09102275091852,3.92799124003948,4.18911291734477,2.93187212658906,2.58760502005953,4.27135096956878,0.288063200325316,2.76998326260455,3.41156183099426,4.17080637912932,2.04649106019403,2.93753272124663,-0.512513650651464,0.311503115468269,1.72726701073491,3.76776071909499,3.49965457781943,-3.8160371651574,-1.35475948735473,-2.38835545662634,2.83814500331236,3.56693689529116,-1.63935479753978,0.151858816727005,1.71413559385633,-1.0862010350493,3.92988565964185,3.24807936808726,1.09153059312062
"ADM",6.09994738400878,6.22710567579083,5.68147737679168,5.28062231798725,6.45715101460976,7.2067311238143,6.0898159087473,6.09763186386514,5.37889305468809,6.62074767832274,3.06022035831686,6.61986781630532,6.18925131958267,6.20322073673532,4.2227272938176,6.56652597729099,3.5742226360892,5.26194445889613,5.39441124542997,7.32787595117641,5.88608673271225,4.95377740262739,5.06957328744819,4.74044190433723,8.57980995246688,7.69426036923373,6.18211621670791,6.18568817912957,7.22304599446287,3.25866966866848,6.74914538481387,8.45055556717162,8.382498663357
"PAMR1",0.264236151043547,1.91876784932515,1.2147465226824,2.18301003676225,0.60502015306241,0.401630466584741,1.33399611819645,0.832687516439532,0.138814468902282,1.24549566281992,-0.249822294406943,1.26363540356833,0.546956178141411,0.926758531986465,0.74931972457408,0.74931972457408,1.22094900446678,3.58147176803605,0.651683180632109,3.37169824670375,1.28154989336664,0.766383141001298,1.19597745864259,1.55630678422498,2.48310634496718,4.03218902476547,0.595503660502742,1.98586470124253,2.45443913468656,-9.96578428466209,1.52155333054509,1.90342396588874,-9.96578428466209
"SERPING1",9.94857310758352,8.37317402053551,7.08991122247387,9.69514301508285,8.50382971235678,8.36580187584624,9.20625982043472,8.71194567842094,9.26167419380265,7.66135769574792,8.45570120387494,10.7803519342305,9.1914812244066,8.01106508291267,9.5660749742269,9.39699215914368,7.98942856208992,8.2395078358914,9.21657854436294,8.15218849038697,6.98619474235251,9.13239947651216,8.52724631280011,9.74930128578803,8.27165444076133,9.73540540037898,8.92068334211937,8.53597905350711,7.59560062859737,4.11027971297561,8.25427751179649,7.3117119917772,5.03478796009458
"NCAM1",4.16035551679442,7.69077325531841,6.6589397884632,1.02219023963407,6.24033341247524,3.94213912121148,3.41562347512092,3.09102275091852,0.993493221058416,-0.997117491466879,-1.05589120089205,7.64494501355132,5.7322963379791,4.36113669122449,2.11802742259079,4.83243435430701,5.77849771734611,-1.11716134423275,-9.96578428466209,-1.2827897009804,-0.997117491466879,1.29924465779607,-0.575615328461903,2.89355636930543,2.11802742259079,3.94401506587589,0.816394909169121,-1.73216460790239,5.87408380131236,-9.96578428466209,1.97856174947575,6.23344711819629,1.28747229511907
"ATM",6.3719247171355,7.12382136555279,6.54814374020594,7.42257782011028,6.66036677252717,6.81045595745008,6.98915036355025,6.64415912392634,7.19111845143524,5.82173572214725,6.87812450209712,7.97688484576728,6.32032220321141,7.25588779180237,7.91037889925399,6.94662560131218,7.20203564283089,0.687956494044482,3.04456898088717,5.52766466150302,3.80951734320822,2.84016106714085,1.83632813392398,2.09794783553483,3.84709494026056,4.90212182917416,4.82380030203038,1.40653667020517,2.06039331222714,1.35106289894039,3.49198133018967,6.10267912502707,2.70730390824728
"ST14",2.49082681491283,1.32250505751888,1.07107616201096,5.6707553756789,3.13602728516192,2.64177721169212,2.89743406292035,5.20871233194788,4.77668305598518,1.5165194976611,1.78282789207489,4.61300115280499,4.15874095108297,4.52048510968595,3.33356685113426,4.3562142525993,6.42292255714171,3.55716498397718,3.52744572778007,2.1013139010863,4.2869550544525,4.56687602593516,4.36534259782577,1.15120939288489,2.72268459807061,2.45180455572049,4.20484498579147,3.51108846592374,1.50639883152745,0.74931972457408,3.52619404017692,1.68750866072073,2.01113778318899
"HYOU1",6.74296283821525,6.08557337127378,4.54046130236645,6.17853538852468,6.72302605303959,6.13957181601311,4.78925975143968,5.07814013095108,5.24682608899958,4.64102573273968,5.1276745461563,6.87259485656633,5.32015971010532,4.93833284574948,5.11898258853021,5.70157677948688,6.97809264174685,3.99104559308096,4.33635480664323,4.90115652517315,5.69963491377698,5.72740316927488,4.31113978027586,3.94026073406911,6.79689620822429,6.77611715128903,6.18568817912957,5.06440865662594,5.62471505009616,0.0440443327060212,5.78374474551858,5.87359175818388,4.56991635210649
"FADS1",3.94026073406911,3.62655594938034,1.73595535401226,3.12779833836582,3.70829761397424,3.82181224077927,3.00198234313243,2.36204901208824,2.33942247434663,5.85127431040361,2.63714650625315,4.64909806528735,3.53742032487834,3.79919094423653,2.8341044040015,4.67812825928701,3.40067454196401,2.09794783553483,3.58868465719203,4.30092906550743,4.37371780420708,4.4575286297468,1.69198075060328,3.36890800303177,5.61768050191918,4.72960714918943,3.2142802598049,3.7160031605131,3.71929298036574,1.95270630763022,4.62240329624248,5.06440865662594,4.35409948376433
