"input_data.Gene","input_data.Study","input_data.N","input_data.Coef","input_data.SE","input_data.Pval","input_data.Cancer_type","input_data.Treatment","meta_output.studlab","meta_output.TE","meta_output.seTE","meta_output.statistic","meta_output.pval","meta_output.df","meta_output.lower","meta_output.upper","meta_output.w.common","meta_output.w.random","meta_output.zval","meta_output.w.fixed","meta_summery.Gene","meta_summery.Coef","meta_summery.SE","meta_summery.CI_lower","meta_summery.CI_upper","meta_summery.Pval","meta_summery.I2","meta_summery.Q_Pval"
"CXCL9","ICB_small_Van_Allen",42,-0.432682185451532,0.164284919546194,0.0084452518067702,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.432682185451532,0.164284919546194,-2.63373039136358,0.00844525180677032,NA,-0.754674710965133,-0.110689659937931,37.0513981722804,37.0513981722804,-2.63373039136358,37.0513981722804,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Van_Allen",42,-0.427856143171956,0.166250414194225,0.0100656919751496,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.427856143171956,0.166250414194225,-2.57356437423431,0.0100656919751496,NA,-0.753700967407504,-0.102011318936408,36.1804969770936,36.1804969770936,-2.57356437423431,36.1804969770936,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Padron",45,-0.420668105328402,0.193319014304383,0.0295529668746049,"Pancreas","PD-1/PD-L1","ICB_small_Padron",-0.420668105328402,0.193319014304383,-2.17603067573092,0.0295529668746053,NA,-0.799566410891776,-0.0417697997650279,26.7578278807773,26.7578278807773,-2.17603067573092,26.7578278807773,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.408189852955753,0.281033225420539,0.146373412952593,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.408189852955753,0.281033225420539,-1.45246118975768,0.146373412952592,NA,-0.959004853239136,0.14262514732763,12.6614855697616,12.6614855697616,-1.45246118975768,12.6614855697616,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Van_Allen",42,-0.3980895326506,0.181371230776564,0.0281716349363936,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.3980895326506,0.181371230776564,-2.1948879706342,0.0281716349363937,NA,-0.753570612804368,-0.042608452496832,30.3992731550955,30.3992731550955,-2.1948879706342,30.3992731550955,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Van_Allen",42,-0.380089308880207,0.201405655488262,0.0591357295511055,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.380089308880207,0.201405655488262,-1.88718289940154,0.0591357295511051,NA,-0.774837139919882,0.0146585221594683,24.6522564643117,24.6522564643117,-1.88718289940154,24.6522564643117,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.374966280884982,0.295076774409131,0.203820653091167,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.374966280884982,0.295076774409131,-1.27074142529795,0.203820653091167,NA,-0.953306131401129,0.203373569631165,11.4849721189831,11.4849721189831,-1.27074142529795,11.4849721189831,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.373101036175189,0.313878619083896,0.234565865487376,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.373101036175189,0.313878619083896,-1.1886793603978,0.234565865487377,NA,-0.988291825096792,0.242089752746414,10.1502451963486,10.1502451963486,-1.1886793603978,10.1502451963486,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.347388789111072,0.0832177997946628,2.9870295276887e-05,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.347388789111072,0.0832177997946628,-4.17445294117656,2.9870295276887e-05,NA,-0.510492679581276,-0.184284898640868,144.400115799541,144.400115799541,-4.17445294117656,144.400115799541,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Nathanson",24,-0.343354545522266,0.252135244670784,0.173265056449556,"Melanoma","CTLA4","ICB_small_Nathanson",-0.343354545522266,0.252135244670784,-1.36178718675601,0.173265056449555,NA,-0.837530544310197,0.150821453265665,15.7301507475443,15.7301507475443,-1.36178718675601,15.7301507475443,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.329360081697655,0.0856422245006254,0.000120175687115525,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.329360081697655,0.0856422245006254,-3.84576747764474,0.000120175687115525,NA,-0.497215757274775,-0.161504406120535,136.340261121809,136.340261121809,-3.84576747764474,136.340261121809,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Padron",45,-0.297738242055624,0.187408964737055,0.112126186726018,"Pancreas","PD-1/PD-L1","ICB_small_Padron",-0.297738242055624,0.187408964737055,-1.58870864301165,0.112126186726017,NA,-0.665053063320189,0.0695765792089407,28.472085346302,28.472085346302,-1.58870864301165,28.472085346302,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.294798253217585,0.287308047918303,0.304858451319692,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.294798253217585,0.287308047918303,-1.02607029407478,0.304858451319691,NA,-0.857911679605967,0.268315173170797,12.1144699563307,12.1144699563307,-1.02607029407478,12.1144699563307,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
