"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"MDK","HAVANA","gene",NA,NA,"ENSG00000110492.11","protein_coding","MDK","2","OTTHUMG00000150315.5",NA,"ENSG00000110492",NA
"VWF","HAVANA","gene",NA,NA,"ENSG00000110799.9","protein_coding","VWF","2","OTTHUMG00000168265.3","ncRNA_host","ENSG00000110799",NA
"CD69","HAVANA","gene",NA,NA,"ENSG00000110848.4","protein_coding","CD69","2","OTTHUMG00000168481.4",NA,"ENSG00000110848",NA
"SELPLG","HAVANA","gene",NA,NA,"ENSG00000110876.8","protein_coding","SELPLG","1","OTTHUMG00000169411.1",NA,"ENSG00000110876",NA
"IL23A","ENSEMBL","gene",NA,NA,"ENSG00000110944.4","protein_coding","IL23A","3",NA,NA,"ENSG00000110944",NA
"KRT18","HAVANA","gene",NA,NA,"ENSG00000111057.6","protein_coding","KRT18","2","OTTHUMG00000169882.1","ncRNA_host","ENSG00000111057",NA
"LTA4H","HAVANA","gene",NA,NA,"ENSG00000111144.5","protein_coding","LTA4H","2","OTTHUMG00000170355.1",NA,"ENSG00000111144",NA
"ELK3","HAVANA","gene",NA,NA,"ENSG00000111145.3","protein_coding","ELK3","2","OTTHUMG00000170364.1",NA,"ENSG00000111145",NA
"RAD51AP1","HAVANA","gene",NA,NA,"ENSG00000111247.10","protein_coding","RAD51AP1","1","OTTHUMG00000168125.4",NA,"ENSG00000111247",NA
"SH2B3","HAVANA","gene",NA,NA,"ENSG00000111252.6","protein_coding","SH2B3","1","OTTHUMG00000169550.4",NA,"ENSG00000111252",NA
"CDKN1B","HAVANA","gene",NA,NA,"ENSG00000111276.6","protein_coding","CDKN1B","1","OTTHUMG00000149914.2",NA,"ENSG00000111276",NA
"ART4","HAVANA","gene",NA,NA,"ENSG00000111339.6","protein_coding","ART4","2","OTTHUMG00000168738.1",NA,"ENSG00000111339",NA
"MGP","HAVANA","gene",NA,NA,"ENSG00000111341.5","protein_coding","MGP","1","OTTHUMG00000168740.1",NA,"ENSG00000111341",NA
"VDR","HAVANA","gene",NA,NA,"ENSG00000111424.6","protein_coding","VDR","1","OTTHUMG00000169890.1",NA,"ENSG00000111424",NA
"FZD10","HAVANA","gene",NA,NA,"ENSG00000111432.4","protein_coding","FZD10","2","OTTHUMG00000168380.1",NA,"ENSG00000111432",NA
"IFNG","HAVANA","gene",NA,NA,"ENSG00000111537.4","protein_coding","IFNG","2","OTTHUMG00000169113.1",NA,"ENSG00000111537",NA
"GAPDH","HAVANA","gene",NA,NA,"ENSG00000111640.10","protein_coding","GAPDH","2","OTTHUMG00000137379.1",NA,"ENSG00000111640",NA
"GNPTAB","HAVANA","gene",NA,NA,"ENSG00000111670.10","protein_coding","GNPTAB","2","OTTHUMG00000170444.1","ncRNA_host","ENSG00000111670",NA
"ENO2","HAVANA","gene",NA,NA,"ENSG00000111674.4","protein_coding","ENO2","1","OTTHUMG00000168967.2",NA,"ENSG00000111674",NA
"PRKAB1","HAVANA","gene",NA,NA,"ENSG00000111725.6","protein_coding","PRKAB1","1","OTTHUMG00000168954.3",NA,"ENSG00000111725",NA
"COL12A1","HAVANA","gene",NA,NA,"ENSG00000111799.16","protein_coding","COL12A1","1","OTTHUMG00000015051.6",NA,"ENSG00000111799",NA
"DSE","HAVANA","gene",NA,NA,"ENSG00000111817.12","protein_coding","DSE","2","OTTHUMG00000015434.4",NA,"ENSG00000111817",NA
"NEDD9","HAVANA","gene",NA,NA,"ENSG00000111859.12","protein_coding","NEDD9","2","OTTHUMG00000014255.5",NA,"ENSG00000111859",NA
"MAN1A1","HAVANA","gene",NA,NA,"ENSG00000111885.5","protein_coding","MAN1A1","2","OTTHUMG00000015472.1",NA,"ENSG00000111885",NA
"SOD2","HAVANA","gene",NA,NA,"ENSG00000112096.12","protein_coding","SOD2","1","OTTHUMG00000015940.3","ncRNA_host","ENSG00000112096",NA
"IL17A","HAVANA","gene",NA,NA,"ENSG00000112115.5","protein_coding","IL17A","2","OTTHUMG00000014840.1",NA,"ENSG00000112115",NA
"PHACTR1","HAVANA","gene",NA,NA,"ENSG00000112137.12","protein_coding","PHACTR1","2","OTTHUMG00000014270.1","ncRNA_host","ENSG00000112137",NA
"CD83","HAVANA","gene",NA,NA,"ENSG00000112149.5","protein_coding","CD83","2","OTTHUMG00000014283.1",NA,"ENSG00000112149",NA
"GLP1R","HAVANA","gene",NA,NA,"ENSG00000112164.5","protein_coding","GLP1R","2","OTTHUMG00000014638.1",NA,"ENSG00000112164",NA
"RBM24","HAVANA","gene",NA,NA,"ENSG00000112183.10","protein_coding","RBM24","2","OTTHUMG00000014306.3",NA,"ENSG00000112183",NA
"TREML2","HAVANA","gene",NA,NA,"ENSG00000112195.8","protein_coding","TREML2","2","OTTHUMG00000016349.3",NA,"ENSG00000112195",NA
"BAG2","HAVANA","gene",NA,NA,"ENSG00000112208.10","protein_coding","BAG2","2","OTTHUMG00000014919.3",NA,"ENSG00000112208",NA
"E2F3","HAVANA","gene",NA,NA,"ENSG00000112242.10","protein_coding","E2F3","2","OTTHUMG00000016389.1","ncRNA_host","ENSG00000112242",NA
"C6orf62","HAVANA","gene",NA,NA,"ENSG00000112308.8","protein_coding","C6orf62","2","OTTHUMG00000014361.1",NA,"ENSG00000112308",NA
"QKI","HAVANA","gene",NA,NA,"ENSG00000112531.12","protein_coding","QKI","2","OTTHUMG00000015977.4",NA,"ENSG00000112531",NA
"MDFI","HAVANA","gene",NA,NA,"ENSG00000112559.9","protein_coding","MDFI","2","OTTHUMG00000014681.5",NA,"ENSG00000112559",NA
"SRF","HAVANA","gene",NA,NA,"ENSG00000112658.6","protein_coding","SRF","2","OTTHUMG00000014722.1",NA,"ENSG00000112658",NA
"VEGFA","HAVANA","gene",NA,NA,"ENSG00000112715.16","protein_coding","VEGFA","2","OTTHUMG00000014745.12",NA,"ENSG00000112715",NA
"SEMA5A","HAVANA","gene",NA,NA,"ENSG00000112902.7","protein_coding","SEMA5A","2","OTTHUMG00000090501.2","ncRNA_host","ENSG00000112902",NA
"KIF20A","HAVANA","gene",NA,NA,"ENSG00000112984.7","protein_coding","KIF20A","2","OTTHUMG00000129195.2",NA,"ENSG00000112984",NA
"NNT","HAVANA","gene",NA,NA,"ENSG00000112992.12","protein_coding","NNT","1","OTTHUMG00000096961.5",NA,"ENSG00000112992",NA
"HBEGF","HAVANA","gene",NA,NA,"ENSG00000113070.6","protein_coding","HBEGF","2","OTTHUMG00000129496.4",NA,"ENSG00000113070",NA
"LOX","HAVANA","gene",NA,NA,"ENSG00000113083.8","protein_coding","LOX","2","OTTHUMG00000128914.2",NA,"ENSG00000113083",NA
"GZMK","HAVANA","gene",NA,NA,"ENSG00000113088.5","protein_coding","GZMK","2","OTTHUMG00000097009.2",NA,"ENSG00000113088",NA
"SPARC","HAVANA","gene",NA,NA,"ENSG00000113140.6","protein_coding","SPARC","1","OTTHUMG00000130122.3",NA,"ENSG00000113140",NA
"PCDHB5","HAVANA","gene",NA,NA,"ENSG00000113209.6","protein_coding","PCDHB5","2","OTTHUMG00000129616.1",NA,"ENSG00000113209",NA
"PCDHB7","HAVANA","gene",NA,NA,"ENSG00000113212.4","protein_coding","PCDHB7","2","OTTHUMG00000129608.2",NA,"ENSG00000113212",NA
"PCDHB15","HAVANA","gene",NA,NA,"ENSG00000113248.3","protein_coding","PCDHB15","2","OTTHUMG00000129609.2",NA,"ENSG00000113248",NA
"ITK","HAVANA","gene",NA,NA,"ENSG00000113263.8","protein_coding","ITK","2","OTTHUMG00000130245.3",NA,"ENSG00000113263",NA
"THBS4","HAVANA","gene",NA,NA,"ENSG00000113296.10","protein_coding","THBS4","1","OTTHUMG00000108173.2",NA,"ENSG00000113296",NA
"IL12B","HAVANA","gene",NA,NA,"ENSG00000113302.4","protein_coding","IL12B","2","OTTHUMG00000130307.2",NA,"ENSG00000113302",NA
"CDH6","HAVANA","gene",NA,NA,"ENSG00000113361.8","protein_coding","CDH6","2","OTTHUMG00000090673.2",NA,"ENSG00000113361",NA
"LMNB1","HAVANA","gene",NA,NA,"ENSG00000113368.7","protein_coding","LMNB1","2","OTTHUMG00000128969.4",NA,"ENSG00000113368",NA
"ST8SIA4","HAVANA","gene",NA,NA,"ENSG00000113532.8","protein_coding","ST8SIA4","1","OTTHUMG00000128727.6","ncRNA_host","ENSG00000113532",NA
"NR3C1","HAVANA","gene",NA,NA,"ENSG00000113580.10","protein_coding","NR3C1","2","OTTHUMG00000129677.2",NA,"ENSG00000113580",NA
"C9","HAVANA","gene",NA,NA,"ENSG00000113600.6","protein_coding","C9","2","OTTHUMG00000094767.4",NA,"ENSG00000113600",NA
"DPYSL3","HAVANA","gene",NA,NA,"ENSG00000113657.8","protein_coding","DPYSL3","2","OTTHUMG00000163437.2",NA,"ENSG00000113657",NA
"PDGFRB","HAVANA","gene",NA,NA,"ENSG00000113721.9","protein_coding","PDGFRB","1","OTTHUMG00000130053.3",NA,"ENSG00000113721",NA
"STC2","HAVANA","gene",NA,NA,"ENSG00000113739.6","protein_coding","STC2","1","OTTHUMG00000130542.3",NA,"ENSG00000113739",NA
"DBN1","HAVANA","gene",NA,NA,"ENSG00000113758.9","protein_coding","DBN1","1","OTTHUMG00000130856.6",NA,"ENSG00000113758",NA
"EHHADH","HAVANA","gene",NA,NA,"ENSG00000113790.6","protein_coding","EHHADH","1","OTTHUMG00000156698.1","ncRNA_host","ENSG00000113790",NA
"SMC4","HAVANA","gene",NA,NA,"ENSG00000113810.11","protein_coding","SMC4","1","OTTHUMG00000159006.6","ncRNA_host","ENSG00000113810",NA
"BCL6","HAVANA","gene",NA,NA,"ENSG00000113916.13","protein_coding","BCL6","1","OTTHUMG00000156441.2",NA,"ENSG00000113916",NA
"CD86","HAVANA","gene",NA,NA,"ENSG00000114013.11","protein_coding","CD86","2","OTTHUMG00000159482.2",NA,"ENSG00000114013",NA
"AMOTL2","HAVANA","gene",NA,NA,"ENSG00000114019.10","protein_coding","AMOTL2","1","OTTHUMG00000159777.6",NA,"ENSG00000114019",NA
"RBP1","HAVANA","gene",NA,NA,"ENSG00000114115.5","protein_coding","RBP1","1","OTTHUMG00000155751.3",NA,"ENSG00000114115",NA
"KAT2B","HAVANA","gene",NA,NA,"ENSG00000114166.7","protein_coding","KAT2B","2","OTTHUMG00000130481.3","ncRNA_host","ENSG00000114166",NA
"WNT5A","HAVANA","gene",NA,NA,"ENSG00000114251.9","protein_coding","WNT5A","2","OTTHUMG00000158361.4",NA,"ENSG00000114251",NA
"USP9Y","HAVANA","gene",NA,NA,"ENSG00000114374.8","protein_coding","USP9Y","2","OTTHUMG00000036469.2",NA,"ENSG00000114374",NA
"HYAL1","HAVANA","gene",NA,NA,"ENSG00000114378.12","protein_coding","HYAL1","2","OTTHUMG00000156941.1",NA,"ENSG00000114378",NA
"CBLB","HAVANA","gene",NA,NA,"ENSG00000114423.14","protein_coding","CBLB","1","OTTHUMG00000150654.4",NA,"ENSG00000114423",NA
"GNB4","HAVANA","gene",NA,NA,"ENSG00000114450.5","protein_coding","GNB4","1","OTTHUMG00000157440.1",NA,"ENSG00000114450",NA
"GBE1","HAVANA","gene",NA,NA,"ENSG00000114480.8","protein_coding","GBE1","2","OTTHUMG00000158978.2",NA,"ENSG00000114480",NA
"NCBP2","HAVANA","gene",NA,NA,"ENSG00000114503.6","protein_coding","NCBP2","1","OTTHUMG00000155520.2",NA,"ENSG00000114503",NA
"ROPN1B","HAVANA","gene",NA,NA,"ENSG00000114547.5","protein_coding","ROPN1B","2","OTTHUMG00000162651.5",NA,"ENSG00000114547",NA
"PLSCR4","HAVANA","gene",NA,NA,"ENSG00000114698.10","protein_coding","PLSCR4","2","OTTHUMG00000159415.13",NA,"ENSG00000114698",NA
"ACVR2B","HAVANA","gene",NA,NA,"ENSG00000114739.9","protein_coding","ACVR2B","2","OTTHUMG00000131291.3",NA,"ENSG00000114739",NA
"VIPR1","HAVANA","gene",NA,NA,"ENSG00000114812.8","protein_coding","VIPR1","1","OTTHUMG00000131792.7",NA,"ENSG00000114812",NA
"ADAM23","HAVANA","gene",NA,NA,"ENSG00000114948.8","protein_coding","ADAM23","2","OTTHUMG00000132919.3",NA,"ENSG00000114948",NA
"IL1A","HAVANA","gene",NA,NA,"ENSG00000115008.5","protein_coding","IL1A","2","OTTHUMG00000131315.2",NA,"ENSG00000115008",NA
"CCL20","HAVANA","gene",NA,NA,"ENSG00000115009.7","protein_coding","CCL20","2","OTTHUMG00000133189.2",NA,"ENSG00000115009",NA
"ZAP70","HAVANA","gene",NA,NA,"ENSG00000115085.9","protein_coding","ZAP70","2","OTTHUMG00000153060.3",NA,"ENSG00000115085",NA
"CENPA","HAVANA","gene",NA,NA,"ENSG00000115163.10","protein_coding","CENPA","2","OTTHUMG00000097073.4",NA,"ENSG00000115163",NA
"CYTIP","HAVANA","gene",NA,NA,"ENSG00000115165.5","protein_coding","CYTIP","1","OTTHUMG00000154551.5",NA,"ENSG00000115165",NA
"ITGB6","HAVANA","gene",NA,NA,"ENSG00000115221.6","protein_coding","ITGB6","1","OTTHUMG00000132026.4",NA,"ENSG00000115221",NA
"FNDC4","HAVANA","gene",NA,NA,"ENSG00000115226.5","protein_coding","FNDC4","2","OTTHUMG00000097787.2",NA,"ENSG00000115226",NA
"ITGA4","HAVANA","gene",NA,NA,"ENSG00000115232.9","protein_coding","ITGA4","1","OTTHUMG00000154212.2",NA,"ENSG00000115232",NA
"IFIH1","HAVANA","gene",NA,NA,"ENSG00000115267.5","protein_coding","IFIH1","2","OTTHUMG00000132055.3",NA,"ENSG00000115267",NA
"GALNT3","HAVANA","gene",NA,NA,"ENSG00000115339.9","protein_coding","GALNT3","2","OTTHUMG00000132157.9",NA,"ENSG00000115339",NA
"TACR1","HAVANA","gene",NA,NA,"ENSG00000115353.6","protein_coding","TACR1","2","OTTHUMG00000129973.3",NA,"ENSG00000115353",NA
"CCDC88A","HAVANA","gene",NA,NA,"ENSG00000115355.11","protein_coding","CCDC88A","1","OTTHUMG00000151915.8",NA,"ENSG00000115355",NA
"ACADL","HAVANA","gene",NA,NA,"ENSG00000115361.3","protein_coding","ACADL","2","OTTHUMG00000132989.2",NA,"ENSG00000115361",NA
"EFEMP1","HAVANA","gene",NA,NA,"ENSG00000115380.14","protein_coding","EFEMP1","2","OTTHUMG00000129343.4",NA,"ENSG00000115380",NA
"FN1","HAVANA","gene",NA,NA,"ENSG00000115414.14","protein_coding","FN1","2","OTTHUMG00000133054.5",NA,"ENSG00000115414",NA
"STAT1","HAVANA","gene",NA,NA,"ENSG00000115415.14","protein_coding","STAT1","1","OTTHUMG00000132699.4",NA,"ENSG00000115415",NA
"PECR","HAVANA","gene",NA,NA,"ENSG00000115425.9","protein_coding","PECR","1","OTTHUMG00000154825.2",NA,"ENSG00000115425",NA
"IGFBP2","HAVANA","gene",NA,NA,"ENSG00000115457.5","protein_coding","IGFBP2","1","OTTHUMG00000155341.1",NA,"ENSG00000115457",NA
"GGCX","HAVANA","gene",NA,NA,"ENSG00000115486.7","protein_coding","GGCX","2","OTTHUMG00000130173.6",NA,"ENSG00000115486",NA
"GNLY","HAVANA","gene",NA,NA,"ENSG00000115523.12","protein_coding","GNLY","1","OTTHUMG00000130179.4",NA,"ENSG00000115523",NA
"CHST10","HAVANA","gene",NA,NA,"ENSG00000115526.6","protein_coding","CHST10","2","OTTHUMG00000130669.8",NA,"ENSG00000115526",NA
"IL1RL1","HAVANA","gene",NA,NA,"ENSG00000115602.12","protein_coding","IL1RL1","2","OTTHUMG00000130782.2",NA,"ENSG00000115602",NA
"IL18R1","HAVANA","gene",NA,NA,"ENSG00000115604.6","protein_coding","IL18R1","2","OTTHUMG00000130780.4",NA,"ENSG00000115604",NA
"IL18RAP","HAVANA","gene",NA,NA,"ENSG00000115607.5","protein_coding","IL18RAP","1","OTTHUMG00000130777.2","ncRNA_host","ENSG00000115607",NA
"SDC1","HAVANA","gene",NA,NA,"ENSG00000115884.6","protein_coding","SDC1","2","OTTHUMG00000090751.2",NA,"ENSG00000115884",NA
"SOS1","HAVANA","gene",NA,NA,"ENSG00000115904.8","protein_coding","SOS1","1","OTTHUMG00000102109.4",NA,"ENSG00000115904",NA
"WIPF1","HAVANA","gene",NA,NA,"ENSG00000115935.12","protein_coding","WIPF1","1","OTTHUMG00000132334.4",NA,"ENSG00000115935",NA
"PLEK","HAVANA","gene",NA,NA,"ENSG00000115956.9","protein_coding","PLEK","2","OTTHUMG00000129562.4",NA,"ENSG00000115956",NA
"EPAS1","HAVANA","gene",NA,NA,"ENSG00000116016.9","protein_coding","EPAS1","1","OTTHUMG00000128818.22",NA,"ENSG00000116016",NA
"EPHA4","HAVANA","gene",NA,NA,"ENSG00000116106.7","protein_coding","EPHA4","1","OTTHUMG00000133142.5","ncRNA_host","ENSG00000116106",NA
"PRRX1","HAVANA","gene",NA,NA,"ENSG00000116132.7","protein_coding","PRRX1","1","OTTHUMG00000035231.5",NA,"ENSG00000116132",NA
"SCP2","HAVANA","gene",NA,NA,"ENSG00000116171.12","protein_coding","SCP2","1","OTTHUMG00000008936.4","ncRNA_host","ENSG00000116171",NA
"LRRC42","HAVANA","gene",NA,NA,"ENSG00000116212.10","protein_coding","LRRC42","2","OTTHUMG00000008436.1",NA,"ENSG00000116212",NA
"WDR77","HAVANA","gene",NA,NA,"ENSG00000116455.9","protein_coding","WDR77","2","OTTHUMG00000011748.2",NA,"ENSG00000116455",NA
"FBXO6","HAVANA","gene",NA,NA,"ENSG00000116663.6","protein_coding","FBXO6","2","OTTHUMG00000002229.1",NA,"ENSG00000116663",NA
"DNAJC6","HAVANA","gene",NA,NA,"ENSG00000116675.11","protein_coding","DNAJC6","2","OTTHUMG00000009066.2",NA,"ENSG00000116675",NA
"IVNS1ABP","HAVANA","gene",NA,NA,"ENSG00000116679.11","protein_coding","IVNS1ABP","2","OTTHUMG00000035384.1",NA,"ENSG00000116679",NA
"NCF2","HAVANA","gene",NA,NA,"ENSG00000116701.10","protein_coding","NCF2","2","OTTHUMG00000035329.3",NA,"ENSG00000116701",NA
"SRSF11","HAVANA","gene",NA,NA,"ENSG00000116754.9","protein_coding","SRSF11","2","OTTHUMG00000009342.3",NA,"ENSG00000116754",NA
"CTH","HAVANA","gene",NA,NA,"ENSG00000116761.7","protein_coding","CTH","2","OTTHUMG00000009352.1",NA,"ENSG00000116761",NA
"CD2","HAVANA","gene",NA,NA,"ENSG00000116824.4","protein_coding","CD2","2","OTTHUMG00000022750.2",NA,"ENSG00000116824",NA
"NR5A2","HAVANA","gene",NA,NA,"ENSG00000116833.9","protein_coding","NR5A2","2","OTTHUMG00000035635.4","ncRNA_host","ENSG00000116833",NA
"HAO2","HAVANA","gene",NA,NA,"ENSG00000116882.10","protein_coding","HAO2","2","OTTHUMG00000012410.2",NA,"ENSG00000116882",NA
"BMP8B","HAVANA","gene",NA,NA,"ENSG00000116985.6","protein_coding","BMP8B","2","OTTHUMG00000009247.1",NA,"ENSG00000116985",NA
"MYCL","HAVANA","gene",NA,NA,"ENSG00000116990.9","protein_coding","MYCL","2","OTTHUMG00000009243.4",NA,"ENSG00000116990",NA
"KMO","HAVANA","gene",NA,NA,"ENSG00000117009.7","protein_coding","KMO","2","OTTHUMG00000039635.2",NA,"ENSG00000117009",NA
"AKT3","HAVANA","gene",NA,NA,"ENSG00000117020.12","protein_coding","AKT3","2","OTTHUMG00000039994.4",NA,"ENSG00000117020",NA
"ACADM","HAVANA","gene",NA,NA,"ENSG00000117054.9","protein_coding","ACADM","1","OTTHUMG00000009784.3","ncRNA_host","ENSG00000117054",NA
"SLAMF1","HAVANA","gene",NA,NA,"ENSG00000117090.10","protein_coding","SLAMF1","2","OTTHUMG00000024006.1",NA,"ENSG00000117090",NA
"CD48","HAVANA","gene",NA,NA,"ENSG00000117091.5","protein_coding","CD48","2","OTTHUMG00000024009.1",NA,"ENSG00000117091",NA
"MFAP2","HAVANA","gene",NA,NA,"ENSG00000117122.9","protein_coding","MFAP2","2","OTTHUMG00000002290.1",NA,"ENSG00000117122",NA
"ACTL8","HAVANA","gene",NA,NA,"ENSG00000117148.6","protein_coding","ACTL8","2","OTTHUMG00000002512.1",NA,"ENSG00000117148",NA
"RGS4","HAVANA","gene",NA,NA,"ENSG00000117152.9","protein_coding","RGS4","2","OTTHUMG00000034417.4",NA,"ENSG00000117152",NA
"PLA2G2D","HAVANA","gene",NA,NA,"ENSG00000117215.10","protein_coding","PLA2G2D","2","OTTHUMG00000002701.1",NA,"ENSG00000117215",NA
"GBP1","HAVANA","gene",NA,NA,"ENSG00000117228.9","protein_coding","GBP1","2","OTTHUMG00000010614.3",NA,"ENSG00000117228",NA
"CD160","HAVANA","gene",NA,NA,"ENSG00000117281.11","protein_coding","CD160","2","OTTHUMG00000013749.2",NA,"ENSG00000117281",NA
"ID3","HAVANA","gene",NA,NA,"ENSG00000117318.8","protein_coding","ID3","2","OTTHUMG00000003229.2",NA,"ENSG00000117318",NA
"SLC2A1","HAVANA","gene",NA,NA,"ENSG00000117394.15","protein_coding","SLC2A1","2","OTTHUMG00000007657.5",NA,"ENSG00000117394",NA
"CDC20","HAVANA","gene",NA,NA,"ENSG00000117399.9","protein_coding","CDC20","2","OTTHUMG00000007420.2",NA,"ENSG00000117399",NA
"MPL","HAVANA","gene",NA,NA,"ENSG00000117400.10","protein_coding","MPL","2","OTTHUMG00000007429.1",NA,"ENSG00000117400",NA
"ARTN","HAVANA","gene",NA,NA,"ENSG00000117407.12","protein_coding","ARTN","2","OTTHUMG00000007705.2",NA,"ENSG00000117407",NA
"FAAH","HAVANA","gene",NA,NA,"ENSG00000117480.11","protein_coding","FAAH","2","OTTHUMG00000007811.1",NA,"ENSG00000117480",NA
"CNN3","HAVANA","gene",NA,NA,"ENSG00000117519.11","protein_coding","CNN3","2","OTTHUMG00000010783.3",NA,"ENSG00000117519",NA
"F3","HAVANA","gene",NA,NA,"ENSG00000117525.9","protein_coding","F3","2","OTTHUMG00000010716.2",NA,"ENSG00000117525",NA
"FASLG","HAVANA","gene",NA,NA,"ENSG00000117560.6","protein_coding","FASLG","2","OTTHUMG00000034841.1",NA,"ENSG00000117560",NA
"TNFSF4","HAVANA","gene",NA,NA,"ENSG00000117586.6","protein_coding","TNFSF4","2","OTTHUMG00000034838.2",NA,"ENSG00000117586",NA
"STMN1","HAVANA","gene",NA,NA,"ENSG00000117632.16","protein_coding","STMN1","2","OTTHUMG00000007389.2","ncRNA_host","ENSG00000117632",NA
"NEK2","HAVANA","gene",NA,NA,"ENSG00000117650.8","protein_coding","NEK2","2","OTTHUMG00000037121.2",NA,"ENSG00000117650",NA
"CENPF","HAVANA","gene",NA,NA,"ENSG00000117724.8","protein_coding","CENPF","2","OTTHUMG00000036955.1",NA,"ENSG00000117724",NA
"GHRH","HAVANA","gene",NA,NA,"ENSG00000118702.5","protein_coding","GHRH","2","OTTHUMG00000032413.2",NA,"ENSG00000118702",NA
"PKD2","HAVANA","gene",NA,NA,"ENSG00000118762.3","protein_coding","PKD2","1","OTTHUMG00000160982.5",NA,"ENSG00000118762",NA
"SPP1","HAVANA","gene",NA,NA,"ENSG00000118785.9","protein_coding","SPP1","2","OTTHUMG00000130599.3",NA,"ENSG00000118785",NA
"RARRES1","HAVANA","gene",NA,NA,"ENSG00000118849.5","protein_coding","RARRES1","1","OTTHUMG00000158834.2",NA,"ENSG00000118849",NA
"PCDH17","HAVANA","gene",NA,NA,"ENSG00000118946.7","protein_coding","PCDH17","2","OTTHUMG00000016992.3",NA,"ENSG00000118946",NA
"CCND2","HAVANA","gene",NA,NA,"ENSG00000118971.3","protein_coding","CCND2","1","OTTHUMG00000168123.3",NA,"ENSG00000118971",NA
"GLE1","HAVANA","gene",NA,NA,"ENSG00000119392.10","protein_coding","GLE1","2","OTTHUMG00000020749.1",NA,"ENSG00000119392",NA
"NR4A3","HAVANA","gene",NA,NA,"ENSG00000119508.13","protein_coding","NR4A3","2","OTTHUMG00000021030.2",NA,"ENSG00000119508",NA
"PGF","HAVANA","gene",NA,NA,"ENSG00000119630.9","protein_coding","PGF","2","OTTHUMG00000171496.2",NA,"ENSG00000119630",NA
"ACOT2","HAVANA","gene",NA,NA,"ENSG00000119673.10","protein_coding","ACOT2","1","OTTHUMG00000171608.2",NA,"ENSG00000119673",NA
"LTBP2","HAVANA","gene",NA,NA,"ENSG00000119681.7","protein_coding","LTBP2","1","OTTHUMG00000171476.1",NA,"ENSG00000119681",NA
"TGFB3","HAVANA","gene",NA,NA,"ENSG00000119699.3","protein_coding","TGFB3","1","OTTHUMG00000171489.1",NA,"ENSG00000119699",NA
"GPR68","HAVANA","gene",NA,NA,"ENSG00000119714.6","protein_coding","GPR68","2","OTTHUMG00000167590.2",NA,"ENSG00000119714",NA
"ESRRB","HAVANA","gene",NA,NA,"ENSG00000119715.10","protein_coding","ESRRB","2","OTTHUMG00000160457.2",NA,"ENSG00000119715",NA
"RHOQ","HAVANA","gene",NA,NA,"ENSG00000119729.6","protein_coding","RHOQ","2","OTTHUMG00000150653.2",NA,"ENSG00000119729",NA
"FKBP1B","HAVANA","gene",NA,NA,"ENSG00000119782.9","protein_coding","FKBP1B","2","OTTHUMG00000151889.2",NA,"ENSG00000119782",NA
"EPCAM","HAVANA","gene",NA,NA,"ENSG00000119888.6","protein_coding","EPCAM","1","OTTHUMG00000128853.8","ncRNA_host","ENSG00000119888",NA
"MXI1","HAVANA","gene",NA,NA,"ENSG00000119950.16","protein_coding","MXI1","2","OTTHUMG00000019033.1",NA,"ENSG00000119950",NA
"CRHR1","HAVANA","gene",NA,NA,"ENSG00000120088.10","protein_coding","CRHR1","2","OTTHUMG00000178271.7",NA,"ENSG00000120088",NA
"TEK","HAVANA","gene",NA,NA,"ENSG00000120156.16","protein_coding","TEK","1","OTTHUMG00000019712.4","ncRNA_host","ENSG00000120156",NA
"MLANA","HAVANA","gene",NA,NA,"ENSG00000120215.5","protein_coding","MLANA","2","OTTHUMG00000019510.1",NA,"ENSG00000120215",NA
"CD274","HAVANA","gene",NA,NA,"ENSG00000120217.9","protein_coding","CD274","2","OTTHUMG00000019503.2",NA,"ENSG00000120217",NA
"MRC1","HAVANA","gene",NA,NA,"ENSG00000120586.4","protein_coding","MRC1","2","OTTHUMG00000017757.1","ncRNA_host","ENSG00000120586",NA
"PLXDC2","HAVANA","gene",NA,NA,"ENSG00000120594.12","protein_coding","PLXDC2","2","OTTHUMG00000017781.5",NA,"ENSG00000120594",NA
"TNFSF11","HAVANA","gene",NA,NA,"ENSG00000120659.10","protein_coding","TNFSF11","2","OTTHUMG00000016807.3",NA,"ENSG00000120659",NA
"SOHLH2","HAVANA","gene",NA,NA,"ENSG00000120669.11","protein_coding","SOHLH2","1","OTTHUMG00000016728.3",NA,"ENSG00000120669",NA
"TGFBI","HAVANA","gene",NA,NA,"ENSG00000120708.12","protein_coding","TGFBI","1","OTTHUMG00000163213.3",NA,"ENSG00000120708",NA
"EGR1","HAVANA","gene",NA,NA,"ENSG00000120738.7","protein_coding","EGR1","2","OTTHUMG00000129197.2",NA,"ENSG00000120738",NA
"GLT8D2","HAVANA","gene",NA,NA,"ENSG00000120820.8","protein_coding","GLT8D2","1","OTTHUMG00000170120.1",NA,"ENSG00000120820",NA
"CLU","HAVANA","gene",NA,NA,"ENSG00000120885.15","protein_coding","CLU","1","OTTHUMG00000102114.5",NA,"ENSG00000120885",NA
"PTK2B","HAVANA","gene",NA,NA,"ENSG00000120899.13","protein_coding","PTK2B","1","OTTHUMG00000102082.5",NA,"ENSG00000120899",NA
"EPHX2","HAVANA","gene",NA,NA,"ENSG00000120915.9","protein_coding","EPHX2","1","OTTHUMG00000102115.5",NA,"ENSG00000120915",NA
