"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"MCAM",5.77219232901602,4.36191398608922,5.4535930978414,4.65451687423409,6.38253613863137,3.70347547495076,4.68429033639078,7.59424895525387,6.97846235106042,2.84847491091256,5.94157348466477,6.96448064945328,8.27741595590008,5.7728002240745,4.12972465087804,6.17009087127198,7.71268732012533,3.65821784956007,7.04076556861905,4.80669467719194,6.30568546787679,8.68119956886562,5.50752071003151
"IL4R",4.33194650351907,5.0909747892911,-0.226145125777074,3.2642836720167,3.99992012390739,0.587804823437001,6.64286998668066,5.21872181459434,4.40251118022936,2.88358460328586,1.74428339083265,3.54835319364626,3.69951410270612,3.80262632221168,3.11265170338438,3.84615664383364,3.14391856029769,4.79408673521563,5.41066471119706,4.86974033183262,3.44506438453547,3.68703532297714,4.38580007312432
"TYR",9.08100928995726,7.21514816070134,5.64137689915508,8.61074345936981,8.0795962763804,11.0004350495287,4.21825405131567,9.30697878903826,5.54402297213367,5.7129257449854,7.80718404076586,8.55884784291802,7.64470069948705,9.22061440559604,5.94397703688444,5.3916978130761,8.62844408571055,6.18642555629311,-9.96578428466209,0.108598374727016,10.1630863158957,10.0805028806368,8.15574437513788
"FGFR1",3.83635659766891,4.53996921378956,3.94191034035755,2.34491997171982,4.58905443937167,1.0703653341983,4.73619745990599,7.01392261551888,5.19712006123227,1.51484933223305,3.82502613587429,3.23836353884517,3.56521942247988,2.41531330368816,2.83601755775264,3.2851078147066,3.40366839182057,3.15714750159396,6.71772240931959,4.75998936225573,5.58601463846951,4.96176290783986,4.43018150005965
"CST7",4.21109483849896,3.61436161319053,-5.02350280305545,2.06390776462269,4.52944939363167,-1.16315107111857,5.47768877173591,2.39293712722897,4.8953587770301,1.03288443554653,2.44636181840256,0.824848654914373,3.23740462512439,4.21065852247146,5.05135725222339,-2.71533994727961,-1.07745265109143,2.18225560021486,1.7751906093816,4.59764620647465,1.22617201914918,3.21502669926453,6.43756485354011
"LAMP3",2.92196655845375,2.31440103908556,-3.05656471033412,-0.155406545895377,2.36443066227569,-3.2234038103309,4.62950476370022,2.54599763128459,2.11516902413582,0.364650138991761,-0.429731975378399,-1.93858802856229,2.67035763224412,1.25434883667066,0.712125722408564,-2.86080016022754,-2.49302011518941,-0.967841539649283,1.22152268609326,1.31231795577739,-0.121442312394643,0.269439084208181,-0.566678207898472
"FAP",4.2085291597166,4.66970657476446,-0.34541545861152,4.12141826774402,4.50204785795714,6.26691428535115,1.89031104833433,6.98686278706198,4.10526068218982,-0.651009241483579,2.34347015427322,1.1044241772235,5.37505039615818,2.99393273075891,4.67553034744132,1.41891118574754,0.302295797203022,2.48104271116558,7.03875429343253,6.03181427575219,1.60202688956531,4.45232336047802,5.20186815445727
"SYNJ2",2.55403544188088,1.75230941843658,-1.00133912685589,1.52169485159,1.67276158365284,2.45348943687221,2.55032448857162,3.80331544294853,2.03456812998907,1.58173041003228,2.44339254069561,0.559628711518753,2.01864215428136,1.46761350833333,0.767213854007878,1.08349224304858,-0.451776647627047,1.78400439633265,2.9101293364862,1.94877933603058,1.69969777738184,2.07519953894939,1.18752410031575
"ADCY2",3.09064150359381,-3.98558936447621,-1.2729841579911,-3.68950991733996,-1.46760921667637,-1.73428294733765,-1.70400204941211,0.246954666809067,-0.698344661050578,0.196979792033699,-1.0290712202333,-1.79234704654067,4.3253878743641,-2.71317021887243,0.302564162476144,3.46768173618644,1.62339591059987,-2.25166222984785,1.09667278220535,-0.681497119009857,-0.660727387703631,-0.627850188871653,4.41399956906808
"EDN1",0.556688518224395,-0.994857605624415,-1.96279885953439,-0.189272850312992,1.66257590849108,-1.58242444696061,1.05499379348865,-0.734380787967128,1.71860547607607,0.924569799505064,-1.4921699704729,-1.97470313442513,-0.303737742753448,2.07089563903996,-0.29223029917096,-1.26585445939115,-0.971452311108791,1.15765787622554,2.98837360106213,1.36265806669947,-0.469300369642217,1.18883689009298,1.04711888479886
